회사,bbl/day
Sinopec Jingmen Company,"100,000"
Sinopec Wuhan Company Refinery,"80,000"
Sinopec CPCC Changling Company Refinery,"100,000"
Sinopec Jinling Company Refinery,"265,000"
Sinopec Jiujiang Company Refinery,"98,000"
China National Petroleum Corporation (PetroChina) Jilin Chemical Refinery,"115,000 b"
China National Petroleum Corporation (PetroChina) Dalian Petrochemical Refinery,"144,000"
China National Petroleum Corporation (PetroChina) Fushun Petrochemical Refinery,"186,000"
China National Petroleum Corporation (PetroChina) Jinxi Refinery,"112,000"
China National Petroleum Corporation (PetroChina) Jinzhou Petrochemical Refinery,"112,000"
WEPEC Dalain Refinery,"200,000"
Sinopec Jinan Company,"21,000"
Sinopec Qilu Company Refinery,"195,000"
Sinopec Shanghai Gaoqiao Oil Refinery,"220,000"
Sinopec Tianjin Company Refinery,"100,000"
China National Petroleum Corporation (PetroChina)  Dushanzi Refinery,"120,000"
China National Petroleum Corporation (PetroChina)  Ürümqi Petrochemical,"101,000"
Sinopec Zhenhai Refinery,"345,000"
Bongaigaon Refinery (IOC),0
Digboi Refinery (IOC),0
Guwahati Refinery (IOC),0
Numaligarh Refinery (NRL),0
Barauni Refinery (IOC),0
Nayara Refinery (Rosneft),"406,000"
Gujarat Refinery (IOC),0
Jamnagar Refinery Reliance Industries,0
Panipat Refinery,0
Mangalore Refinery (MRPL),"199,000"
Bina (Bharat Oman Refinery Ltd.),"116,000"
Guru Gobind Singh Refinery,0
Haldia Refinery (IOC),"116,000"
Paradip Refinery (IOC),"303,000"
Mathura Refinery (IOC),"156,000"
Mumbai Refinery (HPCL),"107,000"
Mumbai Refinery Mahaul (BPCL),"135,000"
Visakhapatnam Refinery (HPCL),"150,000"
Tatipaka Refinery (Oil and Natural Gas Corporation),"1,600"
Kochi Refinery (BPCL),"310,000"
Manali Refinery (CPCL),"Chennai 185,000"
Cuddalore Refinery (NOCL),"125,000"
Nagapattnam Refinery (CPCL),"20,000"
Plaju (Musi) Refinery (Pertamina),"135,200"
Balongan Refinery (Pertamina),"125,000"
Dumai Refinery (Pertamina),"120,000"
Cilacap Refinery (Pertamina),"348,000"
Balikpapan Refinery (Pertamina),"260,000"
Sungai Pakning Refinery (Pertamina),"50,000"
Pangkalan Brandan Refinery (not active) (Pertamina),"5,000"
Cepu Refinery (Pusdiklat Migas Cepu),"3,800"
Kasim Refinery (Pertamina),"10,000"
Abadan Refinery (NIODC),"450,000"
Arvand Oil Refinery (Privately held company),"120,000"
Arak Refinery (NIODC),"250,000"
Tehran Refinery (NIODC),"225,000"
Isfahan Refinery (NIODC),"375,000"
Tabriz Refinery (NIODC),"112,000"
Shiraz Refinery (NIODC),"40,000"
Lavan Refinery (NIODC),"60,000"
Persian Gulf Star Oil Refinery (NIODC),"360,000"
Kermanshah Refinery (NIODC),"25,000"
Bandar Abbas Refinery (NIODC),"350,000"
Pars Refinery (NIODC),"150,000"
Anahita Refinery (NIODC),"150,000"
Bahman Geno Refinery (NIODC),"150,000"
Basrah Refinery (Iraq National Oil Company),"210,000"
Daurah Refinery (Iraq National Oil Company),"180,000"
Kirkuk Refinery (Iraq National Oil Company),"170,000"
Baiji Salahedden Refinery (Iraq National Oil Company),"70,000"
Baiji North Refinery (Iraq National Oil Company),"150,000"
Khanaqin/Alwand Refinery (Iraq National Oil Company),"10,500"
Samawah Refinery (Iraq National Oil Company),"27,000"
Haditha Refinery (Iraq National Oil Company),"14,000"
Muftiah Refinery (Iraq National Oil Company),"4,500"
Gaiyarah Refinery (Iraq National Oil Company),"4,000"
Erbil Refinery (KAR Group),"100,000"
Mirsan Refinery (MIRC Group),"150,000"
Ashdod Oil Refineries (Paz Oil Company),"108,000"
Haifa Refinery (BAZAN Group),"197,000"
(Chiba Refinery) (Cosmo Oil Company),"240,000"
Yokkaichi Refinery (Cosmo Oil Company),"175,000"
Sakai Refinery (Cosmo Oil) (Cosmo Oil Company),"80,000"
Sakaide Refinery (Cosmo Oil Company),"140,000"
Muroran Refinery (JXTG Nippon Oil & Energy),"180,000"
Sendai Refinery (JXTG Nippon Oil & Energy),"145,000"
Negishi Yokohama Refinery (JXTG Nippon Oil & Energy),"340,000"
Osaka Refinery (JXTG Nippon Oil & Energy),"115,000"
Mizushima Refinery (JXTG Nippon Oil & Energy),"250,000"
Marifu Refinery (JXTG Nippon Oil & Energy),"127,000"
Toyama Refinery (Nihonkai Oil JXTG Nippon Oil & Energy),"60,000"
Kubiki Refinery (Teikoku Oil),"4,410"
Chiba Refinery (Kyokuto) (Kyokuto Petroleum/ExxonMobil),"175,000"
Kawasaki Refinery (JXTG Nippon Oil & Energy/ExxonMobil),"335,000"
Wakayama Refinery (JXTG Nippon Oil & Energy/ExxonMobil),"170,000"
Sakai Refinery (JXTG Nippon Oil & Energy) (JXTG Nippon Oil & Energy/ExxonMobil),"156,000"
Nishihara Refinery (Nansei sekiyu/Petrobras),"100,000"
Keihin Refinery (Toa Oil/Royal Dutch Shell),"185,000"
Showa Yokkaichi Refinery (Showa Yokkaichi/Royal Dutch Shell),"210,000"
Yamaguchi Refinery (Seibu Oil/Royal Dutch Shell),"120,000"
Sodegaura Refinery (Fuji Oil Company),"192,000"
Kashima Refinery (Kashima Oil Company/Japan Energy),"210,000"
Mizushima Refinery (Japan Energy) (Japan Energy),"205,200"
Shikoku Refinery (Taiyo Oil),"Taiyo Oil 120,000"
Ohita Refinery (Kyusyu Oil),"Kyusyu Oil 160,000"
Hokkaido Refinery (Idemitsu Kosan),"140,000"
Chiba Refinery (Idemitsu) (Idemitsu Kosan),"220,000"
Aichi Refinery (Idemitsu Kosan),"160,000"
Tokuyama Refinery (Idemitsu Kosan),"120,000"
,값 따로 넣어주기
"Jordan Refinery, Zarqa, Az Zarqa (Jordan Petroleum Refinery Company)","90,000"
Shymkent Refinery (PetroKazakhstan),"160,000"
Pavlodar Refinery (KazMunayGas),"162,600"
Atyrau Refinery (KazMunayGas),"104,400"
Mina Al-Ahmadi Refinery (Kuwait National Petroleum Company),"470,000"
Shuaiba Refinery (Kuwait National Petroleum Company),"200,000"
Mina Abdullah Refinery (Kuwait National Petroleum Company),"270,000"
"Al Zour Refinery, Kuwait National Petroleum Company (KNPC)","615,000"
Melaka I Refinery (Petronas),"100,000"
Melaka II Refinery (Petronas/Phillips 66),"170,000"
Kertih Refinery (Petronas),"40,000"
Hengyuan Port Dickson Refinery (Hengyuan Refining Company),"156,000"
Petron Port Dickson Refinery (Petron),"88,000"
Kemaman Bitumen Refinery (TIPCO),"30,000"
Thanlyin Refinery (Myanma Petrochemical Enterprise[permanent dead link]),"20,000"
"Mina Al Fahal, Oman Refinery Company (ORPIC)","106,000"
Sohar Refinery Company (SRC) (ORPIC),"116,000"
Duqm Refinery Company (DRC) (Duqmrefinery),"230,000"
Pak-Arab Refinery Ltd. (MCR),"Multan, Punjab 100,000"
National Refinery Ltd. (NRL),"Karachi, Sindh 64,000"
Attock Refinery Ltd. (ARL),"Rawalpindi, Punjab 53,400"
Byco Petroleum Pakistan Limited (Byco),"Karachi, Sindh 150,000"
Pakistan Refinery Ltd. (PRL),"Karachi, Sindh 50,000"
Khyber Refinery (Pvt) Ltd,"Kushalgarh, Kohat, KP 20,000"
Enar Petroleum Refining Facility (Enar),"Gadap, Karachi, Sindh 3,000"
Indus Oil Refinery Ltd,"100,000"
Grace Refinery Limited (GRL) Kot Addu,0
"Al Motahedon Petroleum Refineries (50,000 bbl/d)",0
Bataan Refinery (Philippine National Oil Company),"Limay, Bataan 180,000"
Tabangao Refinery (Royal Dutch Shell),"Tabangao, Batangas 110,000"
Batangas Refinery (Caltex (Chevron)),"Batangas City, Batangas 86,000"
Um Said Refinery (QP Refinery 100%),"147,000"
"Laffan Refinery 1 (Qatar Petroleum 51%, ExxonMobil 10%, Total 10%, Idemitsu 10%, Cosmo Oil Company 10%, Mitsui 4.5%, Marubeni 4.5%)","146,000"
"Laffan Refinery 2 (Qatar Petroleum 84%, Total 10%, Cosmo 2%, Idemitsu 2%, Mitsui 1% and Marubeni 1%)","146,000"
Riyadh Refinery (Saudi Aramco),"120,000"
Rabigh Refinery (Saudi Aramco/Sumitomo),"400,000"
Jeddah Refinery (Saudi Aramco),"100,000"
Ras Tanura Refinery (Saudi Aramco),"550,000"
Yanbu' Refinery (Saudi Aramco),"225,000"
Yanbu' Refinery (SAMREF) (Saudi Aramco/Exxon Mobil),"400,000"
Jubail Refinery (SATORP) (Saudi Aramco/Total),"400,000"
"YASREF Refinery (Yanbu, KSA) (Saudi Aramco/Sinopec)","400,000"
"Jazan Refinery (Saudi Aramco, opens 2016)","400,000"
Jubail Refinery (SASREF) (Saudi Aramco/Shell),"305,000"
ExxonMobil Jurong Island Refinery (ExxonMobil),"605,000"
SRC Jurong Island Refinery (Singapore Petroleum Company),"290,000"
Shell Pulau Bukom Refinery (Royal Dutch Shell),"500,000"
Sapugaskanda Refinery (Ceylon Petroleum Co.),0
"SK Energy Co., Ltd. Ulsan Refinery (SK Energy)","850,000"
S-Oil Onsan Refinery (S-Oil),"669,000"
GS-Caltex Yeosu Refinery (GS Caltex),"730,000"
SK Incheon Petrochem (SK Group/SK Incheon Petrochem),"275,000"
Hyundai Oilbank Daesan Refinery (Hyundai Oilbank),"275,000"
Homs Refinery,값 따로 넣어주기
Banias Refinery,값 따로 넣어주기
Talin Refinery (CPC),"100,000"
Kaohsiung Refinery (CPC),"270,000"
Taoyuan Refinery (CPC),"200,000"
Mailiao Refinery (Formosa Petrochemical),"540,000"
Thai Oil Refinery (Thai Oil Company of PTT Public Company Limited),"275,000"
IRPC Refinery (IRPC PLC of PTT),"215,000"
PTT Global Chemical Refinery (PTT Global Chemical PLC of PTT),"145,000"
SPRC Refinery (Star Petroleum Refining Company of PTT),"150,000"
Bangchak Refinery (Bangchak Petroleum),"120,000"
Sri Racha Refinery (ExxonMobil),"170,000"
Rayong Purifier Refinery (Rayong Purifier Company),"17,000"
STAR Refinery (Socar),"214,000"
Kirikkale Refinery (Tüpraş),"112,500"
Izmit Refinery (Tüpraş),"226,000"
Aliaga Refinery (Tüpraş),"200,000"
Batman Refinery (Tüpraş),"22,000"
Doğu Akdeniz Petrol Refinery (Çalık Holding),0
ATAŞ (Refinery),0
Seidi,"120,000"
Turkmenbashi,"116,000"
Abu Dhabi Refinery (Abu Dhabi Oil Refining Company),"85,000"
Fujairah Refinery (VITOL Group),"80,000"
Uniper - Fujairah (heavy crude oil flashers),값 따로 넣어주기
Ruwais Refinery (Abu Dhabi Oil Refining Company),"817,000"
Jebel Ali Refinery ([ENOC]),"140,000"
Al Nakheel Oil Refinery ([ANOR]),0
Dung Quat Refinery (Petrovietnam),"148,000"
Nghi Sơn Refinery (Nghi Son Refinery and Petrochemical LLC),"200,000"
Aden Refinery (Aden Refinery Company),"120,000"
Marib Refinery (Hunt Oil Company),"10,000"
Ballsh Refinery (ARMO Oil Refiner),"20,000"
Fier Refinery (ARMO Oil Refiner),"10,000"
Bitex Refinery,0
Schwechat Refinery (OMV),"176,000"
Haydar Aliyev Refinery (SOCAR),"160,000"
Azerneftyag Refinery (SOCAR),"239,000"
"Bosanski Brod Refinery Nestro, a subsidiary of JSC Zarubezhneft (Russia)","1.5 million tons/annum & 30,000"
"Mozyr Refinery (Slavneft)[34] 95,000 bbl/d (15,100 m3/d)",값 따로 넣어주기
Novopolotsk Refinery (Naftan)[35],값 따로 넣어주기
Total Antwerp Refinery (Total),"360,000"
ExxonMobil Antwerp Refinery (ExxonMobil),"333,000"
Antwerp N.V. Refinery (Vitol),"35,000"
"Independent Belgian Refinery, Antwerp (Gunvor)","115,000"
LUKOIL Neftochim Burgas (LUKOIL),"208,000"
Dididom oil refinery (DIDIDOM),"60,000"
Rijeka Refinery (INA),"90,000"
Sisak Refinery (INA),"60,000"
Litvinov Refinery (Česká Rafinérská),"120,000"
Kralupy Refinery (Česká Rafinérská),"80,000"
Pardubice Refinery (PARAMO),"15,000"
Kalundborg Refinery (Statoil),"110,000"
Fredericia Refinery (Royal Dutch Shell),"68,000"
Porvoo Refinery (Neste),"206,000"
Naantali Refinery (Neste Oil Oyj),"58,000"
La Mede Refinery (Total S.A.),"155,000"
Normandy Refinery (Total S.A.),"350,000"
Flandres Refinery (Total S.A.),"160,000"
Donges Refinery (Total S.A.),"231,000"
Feyzin Refinery (Total S.A.),"119,000"
Grandpuits Refinery (Total S.A.),"99,000"
Port Jérôme-Gravenchon Refinery (ExxonMobil),"270,000"
Fos-sur-Mer Refinery (ExxonMobil),"140,000"
Reichstett Refinery (Petroplus),"77,000"
Petit Couronne Refinery (Petroplus),"142,000"
Berre L'Etang Refinery (LyondellBasell),"100,000"
Fort de France Refinery (Total S.A.),"17,000"
Lavera Oil Refinery (Ineos),"210,000"
Schwedt Refinery (PCK Raffinerie GmbH(Shell/Rosneft/Eni),"210,000"
Ingolstadt Refinery (Bayernoil(VARO/Eni/Rosneft/BP)),"262,000"
Ingolstadt Refinery (Gunvor),"110,000"
Ruhr Öl Refinery (BP),"266,000"
Wilhelmshaven Refinery (Hestya),"300,000"
Rheinland Werk Godorf Cologne Refinery (Royal Dutch Shell),"190,000"
Rheinland Werk Wesseling Cologne Refinery (Royal Dutch Shell),"160,000"
MiRO Karlsruhe Refinery (MiRO(Shell/ExxonMobil/Rosneft/Phillips 66)),"285,000"
Burghausen Refinery (OMV),"70,000"
TOTAL Refinery Mitteldeutschland (Total S.A.),"227,000"
Emsland Lingen Refinery (BP),"80,000"
Elbe Mineralölwerke Hamburg-Harburg Refinery (Royal Dutch Shell; an agreement to sell to Nynas was announced on 12 December 2011),값 따로 넣어주기
Hamburg (Holburn),0
Raffinerie Heide (Klesch),"90,000"
Aspropyrgos Refinery (Hellenic Petroleum),"148,000"
Corinth Refinery (Motor Oil Hellas),"185,000"
Elefsina Refinery (Hellenic Petroleum),"100,000"
Thessaloniki Refinery (Hellenic Petroleum),"93,000"
Szazhalombatta Refinery (MOL),"161,000"
Whitegate Refinery (Irving Oil),"71,000"
"Sarpom Trecate, Novara Refinery (ExxonMobil 74.1%/ERG 25.9%)","200,000"
Sonatrach (former Esso) Augusta Refinery (Former ExxonMobil),"190,000"
Rome Refinery (Total S.A. 77.5%/ERG 22.5%),"90,000"
Falconara Marittima Ancona Refinery (API),"85,000"
Mantova Refinery (IESItaliana),"55,000"
Lukoil Impianti Sud Refinery (ISAB ERG),"214,000"
Lukoil Impianti Nord Refinery (ISAB ERG),"160,000"
Milazzo RAM Refinery (Eni,"Kuwait Petroleum Italia SPA) 200,000"
Sannazzaro de' Burgondi Refinery (Eni),"160,000"
"Gela Refinery (Eni) 100,000 bbl/d (16,000 m3/d) - closed",0
Taranto Refinery (Eni),"90,000"
Livorno Refinery (Eni),"84,000"
"Porto Marghera Venice Refinery (Eni) 70,000 bbl/d (11,000 m3/d) - closed",0
Cremona Refiney (Tamoil),"80,000"
Iplom Busalla Refinery (IPLOM),값 따로 넣어주기
Sarroch Refinery,"Sardegna (Saras S.p.A.) 300,000"
Mažeikių Refinery (Mazeikiu Nafta - PKN Orlen),"263,000"
Shell Pernis Refinery (Royal Dutch Shell),"416,000"
Botlek (ExxonMobil) Rotterdam,"195,000"
BP Rotterdam Refinery (BP),"400,000"
Gunvor Refinery Europoort (Gunvor),"80,000"
VPR Refinery (Vitol),"80,000"
Zeeland Refinery (Total S.A./Lukoil),"149,000"
OKTA Skopje Refinery (Hellenic Petroleum),"50,000"
Slagen Refinery (ExxonMobil),"110,000"
Mongstad Refinery (Equinor),"200,000"
Plock Refinery (PKN Orlen),"276,000"
Gdansk Refinery (Grupa LOTOS),"210,000"
Czechowice Refinery (Grupa LOTOS),"12,000"
Trzebinia Refinery (PKN Orlen),"4,000"
Jaslo Oil Refinery (Grupa LOTOS),"3,000"
Jedlicze Refinery (PKN Orlen),"2,800"
Glimar Refinery (Hudson Oil),"3,400"
Porto Refinery (Galp Energia),"110,000"
Sines Refinery (Galp Energia),"220,000"
Arpechim Refinery Piteşti (Petrom/OMV),"70,000"
Astra Refinery (Interagro),"20,000"
Petrobrazi Refinery Ploieşti (Petrom/OMV),"90,000"
Petromidia Constanţa Refinery (Rompetrol),"100,000"
Petrotel Lukoil Refinery Ploieşti (LUKOIL),"68,000"
Petrolsub Suplacu de Barcău Refinery (Petrom/OMV),"15,000"
RAFO Oneşti (Calder A),"70,000"
Steaua Romană Câmpina Refinery (Omnimpex Chemicals),"15,000"
Vega Ploieşti Refinery (Rompetrol),"20,000"
Orsk and Krasnodar Refinery (Russneft),"217,000"
Syzran Refinery (Rosneft),"213,400"
Novokuibyshevsk Refinery (Rosneft),"191,500"
Yuzhnovladigorskiy Refinery (https://yuzhnovladigorskiy.ru/-/o-nas.html),"191,500"
Kuibyshev Oil Refinery (Rosneft),"139,800"
"Salavatnefteorgsintez Refinery (Gazprom, Salavat)","250,000"
Volgograd Refinery (LUKOIL),"193,000"
Ukhta Refinery (LUKOIL),"72,000"
Perm Refinery (LUKOIL),"235,000"
"NORSI-oil (LUKOIL, Kstovo)","292,000"
Ryazan Refinery (Rosneft),"253,000"
Orsk Refinery (Russneft),"159,000"
Saratov Refinery (Rosneft),"108,000"
Moscow Refinery (Gazprom Neft),"213,000"
Kirishi Refinery (Surgutneftegas),"337,000"
YaNOS Yaroslavl Refinery (Slavneft),"132,000"
Krasnodar Refinery (Russneft),"58,000"
Tuapse Refinery (Rosneft),"85,000"
Nizhnekamsk Refinery (TAIF),"14,000"
Ufa Refinery (Bashneft),"190,000"
Novo-Ufa Refinery (Bashneft),"180,000"
Ufaneftekhim Refinery (Bashneft),"250,000"
Achinsk Refinery (Rosneft),"131,000"
Angarsk Petrochemical Refinery (Rosneft),"194,000"
Khabarovsk Refinery (Alliance),"85,000"
Komsomolsk Refinery (Rosneft),"120,000"
Nizhnevartovsk Refinery (Rosneft),"25,100"
Omsk Oil Refinery (Gazprom Neft),"423,713"
"Pančevo Refinery (Naftna Industrija Srbije),",값 따로 넣어주기
"Novi Sad Refinery (Naftna Industrija Srbije),",값 따로 넣어주기
Hemco Refinery Hemco Lubricants,값 따로 넣어주기
Slovnaft Bratislava Refinery (MOL),"110,000"
Petrochema Dubová Refinery (Russian investors),0
Bilbao Refinery (Petronor),"220,000"
Puertollano Refinery (Repsol),"140,000"
Tarragona Refinery (Repsol),"160,000"
Tarragona Asphalt Refinery (ASESA),"20,000"
A Coruña Refinery (Repsol),"125,000"
Cartagena Refinery (Repsol),"220,000"
Tenerife Refinery (CEPSA),"90,000"
Palos de la Frontera Refinery (CEPSA),"200,000"
Gibraltar-San Roque Refinery (CEPSA),"240,000"
Castellon Refinery (BP),"100,000"
"Gothenburg Refinery (78,000 bpd refining capacity)",0
"Nynäshamn Refinery (90,000 bpd refining capacity)",0
"Gothenburg Refinery (132,000 bpd refining capacity)",0
"Lysekil Refinery (220,000 bpd refining capacity)",0
Cressier Refinery (VaroEnergy),"68,000"
Collombey-Muraz Refinery (Tamoil),"45,000"
Odessa Refinery (LUKOIL),"70,000"
LINOS Refinery (TNK-BP),"320,000"
Kherson Refinery (Alliance),"36,000"
Kremenchuk Refinery (Ukrtatnafta),"368,500"
Drogobych Refinery (Pryvat),"40,000"
Neftekhimik Prikarpatya Nadvirna Refinery (Pryvat),"39,000"
Coryton Refinery (Petroplus),"175,000"
Fawley Refinery (ExxonMobil),"330,000"
Humber Refinery (Phillips 66),"221,000"
Kent Refinery (BP),0
Lindsey Oil Refinery (Total S.A.),"223,000"
Teesside Refinery (Petroplus),"117,000"
Shell Haven Refinery (Royal Dutch Shell),0
Stanlow Refinery (Essar Oil),"272,000"
"Grangemouth Refinery (Petroineos, a joint venture of Ineos and PetroChina)","205,000"
"Milford Haven Refinery (Murco),135,000 bbl/d (21,500 m3/d)",0
Pembroke Refinery (Valero),"215,000"
Aruba Refinery (Valero),"275,000"
"Strathcona Refinery, Strathcona County (Imperial Oil)","191,000"
"Scotford Refinery, Strathcona County (Shell Oil Company)","114,000"
"Edmonton Refinery, Strathcona County (Suncor Energy)","142,000"
"Sturgeon Refinery, Sturgeon County (North West Redwater Partnership)","80,000"
"Husky Lloydminster Refinery, Lloydminster (Husky Energy)","30,000"
"Burnaby Refinery, Burnaby (Parkland Fuel)","55,000"
"Prince George Refinery, Prince George (Husky Energy)","12,000"
"Irving Oil Refinery, Saint John (Irving Oil)","320,000"
"North Atlantic Refinery, Come by Chance (North Atlantic Refining)","130,000"
"Nanticoke Refinery, Nanticoke (Imperial Oil)","112,000"
"Sarnia Refinery, Sarnia (Imperial Oil)","121,000"
"Shell Corunna Refinery, Corunna (Shell Canada)","75,000"
"Clarkson Refinery 2, Mississauga, Ontario (HollyFrontier)","15,600"
"Sarnia Refinery, Sarnia (Suncor Energy)","85,000"
"Montreal Refinery, Montreal (Suncor Energy)","137,000"
"Jean-Gaulin Refinery, Lévis, (Valero)","235,000"
"CCRL Refinery Complex, Regina, (FCL))","145,000"
"Moose Jaw Refinery, Moose Jaw (Gibson Energy)","22,000"
Nico López Refinery (Cupet) Havana,"Cuba122,000"
Hermanos Díaz Refinery (Cupet) Santiago,"Cuba 102,500"
Cienfuegos Refinery (Cupet) Cienfuegos,"Cuba 76,000"
Isla Refinery (PDVSA),"320,000"
Puerto Limón Refinery (Recope) (start-up 1967),"not operational since 2011 25,000"
Haina Refinery (REFIDOMSA),"33,000"
Refinería Petrolera de Acajutla S.A. de C.V. (Puma Energy),"22,000"
Puerto Barrios Refinery (TEXACO-out of service),"12,500"
La Libertad Refinery (Perenco),값 따로 넣어주기
Puerto Cortés Refinery (REFTEXA),0
Kingston Refinery (PetroJam & PDVSA),"50,000"
Fort de France (SARA),"16,000"
Tula Refinery (Pemex) Tula,"Hidalgo 320,000"
Minatitlan Refinery (Pemex) Minatitlan,"Veracruz 167,000"
Cadereyta Refinery (Pemex) Cadereyta Jiménez,"Nuevo León 217,000"
Salamanca Refinery (Pemex) Salamanca,"Guanajuato 192,000"
Francisco I. Madero Refinery (Pemex) Ciudad Madero,"Tamaulipas177,000"
Salina Cruz Refinery (Pemex) Salina Cruz,"Oaxaca 330,000"
Managua Refinery (MANREF)-Managua (Puma Energy),"21,000"
Pointe-à-Pierre Refinery (Petrotrin),0
Atmore Refinery (Goodway Refining LLC),"Atmore, 4,100"
Saraland Refinery (Shell Chemicals by Royal Dutch Shell),"Saraland, 80,000"
Tuscaloosa Refinery (Hunt Refining Company),"Tuscaloosa, 72,000"
Kenai Refinery (Marathon Petroleum Company),"Kenai, 65,000"
North Pole Refinery (Petro Star by Arctic Slope Regional Corporation),"North Pole, 19,700"
North Pole Refinery (Flint Hills Resources LP by Koch Industries),"North Pole, 127,459"
Prudhoe Bay Refinery (BP Exploration Alaska Inc by BP),"Prudhoe Bay, 10,500"
Prudhoe Bay Refinery (ConocoPhillips Alaska by ConocoPhillips),"Prudhoe Bay, 15,000"
Valdez Refinery (Petro Star by Arctic Slope Regional Corporation),"Valdez, 55,000"
El Dorado Refinery (Delek),"El Dorado, 83,000"
Smackover Refinery (Cross Oil Refining & Marketing Inc by Martin Midstream Partners LP),"Smackover, 7,500"
Bakersfield Refinery (Delek),"Bakersfield, 66,000"
Bakersfield Refinery (Kern Oil & Refining Co),"Bakersfield, 26,000"
Bakersfield Refinery (San Joaquin Refining Co),"Bakersfield, 15,000"
Benicia Refinery (Valero),"Benicia, 145,000"
Carson Refinery (Tesoro),"Carson, 257,300"
El Segundo Refinery (Chevron),"El Segundo, 269,000"
Golden Eagle Refinery (Tesoro),"Martinez, 166,000"
Long Beach Refinery (Delek),"Long Beach, 26,000"
Los Angeles Refinery (Phillips 66),"Wilmington and Carson, 139,000"
Los Angeles Refinery (Marathon Petroleum Company),"Wilmington, 104,500"
Martinez Refinery (PBF Energy),"Martinez, 156,400"
"Paramount Refinery (Paramount Petroleum, subsidiary of Alon USA)","Paramount, 50,000"
Richmond Refinery (Chevron),"Richmond, 245,271"
San Francisco Refinery (Phillips 66) (Phillips 66),"Rodeo and Arroyo Grande, 120,200"
Santa Maria Refinery (Greka Energy),"Santa Maria, 9,500"
"South Gate Refinery (Lunday Thagard Co, subsidiary of World Oil Corp)","South Gate, 8,500"
